comuna;codigo_comuna;dia_nacional;fecha;clave;casos_diarios;casos_acumulados;muertes;casos_activos;recuperados;recuperados_diarios;dia_comunal;fallecidos_diarios;on-off;max_dia;;
Talagante;13601;29;31-03-2020;1360143921;2;6;0;6;0;0;9;0;ON;45;;
Talca;7101;29;31-03-2020;710143921;1;35;0;26;9;1;29;0;ON;65;;
Talcahuano;8110;29;31-03-2020;811043921;5;38;1;25;12;10;16;0;ON;52;;
Taltal;2104;29;31-03-2020;210443921;1;2;0;2;0;0;2;0;ON;38;;
Temuco;9101;29;31-03-2020;910143921;35;231;3;226;2;1;16;1;ON;52;;
Teno;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Teodoro_Schmidt;9117;29;31-03-2020;911743921;1;2;0;2;0;0;2;0;ON;38;;
Tierra_Amarilla;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Tiltil;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Tirua;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Tocopilla;2301;29;31-03-2020;230143921;0;2;0;2;0;0;13;0;ON;49;;
Tolten;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Tome;8111;29;31-03-2020;811143921;0;7;0;7;0;0;13;0;ON;49;;
Traiguen;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Tucapel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Valdivia;14101;29;31-03-2020;1410143921;6;39;0;38;1;0;16;0;ON;52;;
Vallenar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Valparaiso;5101;29;31-03-2020;510143921;1;25;0;25;0;0;12;0;ON;48;;
Victoria;9211;29;31-03-2020;921143921;1;5;0;5;0;0;5;0;ON;41;;
Vicuna;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Vilcun;9119;29;31-03-2020;911943921;1;5;0;5;0;0;5;0;ON;41;;
Villa_Alegre;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Villa_Alemana;5804;29;31-03-2020;580443921;1;7;0;7;0;0;7;0;ON;43;;
Villarrica;9120;29;31-03-2020;912043921;2;4;0;4;0;0;2;0;ON;38;;
Vina_del_Mar;5109;29;31-03-2020;510943921;2;33;1;31;1;0;16;1;ON;52;;
Vitacura;13132;29;31-03-2020;1313243921;3;85;0;31;54;0;28;0;ON;64;;
Yerbas_Buenas;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Yumbel;8313;29;31-03-2020;831343921;0;5;0;5;0;0;6;0;ON;42;;
Yungay;16109;29;31-03-2020;1610943921;2;7;0;7;0;0;4;0;ON;40;;
Aisen;11201;30;01-04-2020;1120143922;0;1;0;0;1;0;19;0;ON;54;;
Algarrobo;5602;30;01-04-2020;560243922;2;9;0;9;0;0;5;0;ON;40;;
Alto_Hospicio;1107;30;01-04-2020;110743922;0;3;0;3;0;0;8;0;ON;43;;
Ancud;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Andacollo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Angol;9201;30;01-04-2020;920143922;0;19;0;17;2;1;15;0;ON;50;;
Antofagasta;2101;30;01-04-2020;210143922;3;36;0;33;3;3;14;0;ON;49;;
Arauco;8202;30;01-04-2020;820243922;0;6;0;6;0;0;8;0;ON;43;;
Arica;15101;30;01-04-2020;1510143922;0;6;0;5;1;0;16;0;ON;51;;
Buin;13402;30;01-04-2020;1340243922;1;9;0;9;0;0;7;0;ON;42;;
Bulnes;16102;30;01-04-2020;1610243922;0;13;0;13;0;0;13;0;ON;48;;
Cabildo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Cabo_de_Hornos;12201;30;01-04-2020;1220143922;0;9;0;9;0;0;13;0;ON;48;;
Cabrero;8303;30;01-04-2020;830343922;0;4;0;4;0;0;7;0;ON;42;;
Calama;2201;30;01-04-2020;220143922;0;3;0;1;2;0;19;0;ON;54;;
Calbuco;10102;30;01-04-2020;1010243922;0;5;0;5;0;0;10;0;ON;45;;
Caldera;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Calera;5502;30;01-04-2020;550243922;1;6;0;6;0;0;7;0;ON;42;;
Calera_de_Tango;13403;30;01-04-2020;1340343922;0;3;0;3;0;0;9;0;ON;44;;
Calle_Larga;5302;30;01-04-2020;530243922;1;1;0;1;0;0;1;0;START;36;;
Carahue;9102;30;01-04-2020;910243922;0;1;0;1;0;0;10;0;ON;45;;
Cartagena;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Casablanca;5102;30;01-04-2020;510243922;0;1;0;1;0;0;9;0;ON;44;;
Castro;10201;30;01-04-2020;1020143922;0;1;0;1;0;0;7;0;ON;42;;
Catemu;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Cauquenes;7201;30;01-04-2020;720143922;0;1;0;1;0;0;5;0;ON;40;;
Cerrillos;13102;30;01-04-2020;1310243922;1;7;1;6;0;0;8;0;ON;43;;
Cerro_Navia;13103;30;01-04-2020;1310343922;2;12;0;4;8;8;14;0;ON;49;;
Chaiten;10401;30;01-04-2020;1040143922;1;1;0;1;0;0;1;0;START;36;;
Chanco;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Chiguayante;8103;30;01-04-2020;810343922;2;15;0;15;0;0;12;0;ON;47;;
Chile_Chico;11401;30;01-04-2020;1140143922;1;1;0;1;0;0;1;0;START;36;;
Chillan;16101;30;01-04-2020;1610143922;9;151;0;128;23;0;21;0;ON;56;;
Chillan_Viejo;16103;30;01-04-2020;1610343922;0;26;0;23;3;1;17;0;ON;52;;
Chimbarongo;6303;30;01-04-2020;630343922;0;2;0;2;0;0;8;0;ON;43;;
Cholchol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Cochamo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Codegua;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Coelemu;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Coihaique;11101;30;01-04-2020;1110143922;0;2;0;2;0;0;8;0;ON;43;;
Coihueco;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Coinco;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Colbun;7402;30;01-04-2020;740243922;1;3;0;2;1;0;15;0;ON;50;;
Colina;13301;30;01-04-2020;1330143922;4;41;0;9;32;32;14;0;ON;49;;
Collipulli;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Concepcion;8101;30;01-04-2020;810143922;5;65;1;59;5;2;20;0;ON;55;;
Conchali;13104;30;01-04-2020;1310443922;2;20;0;7;13;13;14;0;ON;49;;
Concon;5103;30;01-04-2020;510343922;1;2;0;2;0;0;2;0;ON;37;;
Constitucion;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Copiapo;3101;30;01-04-2020;310143922;1;4;0;3;1;0;19;0;ON;54;;
Coquimbo;4102;30;01-04-2020;410243922;1;17;0;15;2;2;14;0;ON;49;;
Coronel;8102;30;01-04-2020;810243922;0;11;0;11;0;0;13;0;ON;48;;
Corral;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Cunco;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Curacautin;9203;30;01-04-2020;920343922;1;1;0;1;0;0;1;0;START;36;;
Curacavi;13503;30;01-04-2020;1350343922;1;6;0;1;5;5;14;0;ON;49;;
Curanilahue;8205;30;01-04-2020;820543922;0;1;0;1;0;0;5;0;ON;40;;
Curarrehue;9104;30;01-04-2020;910443922;0;1;0;1;0;0;11;0;ON;46;;
Curepto;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Curico;7301;30;01-04-2020;730143922;1;8;0;6;2;1;22;0;ON;57;;
Diego_de_Almagro;3202;30;01-04-2020;320243922;0;1;0;1;0;0;4;0;ON;39;;
Donihue;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
El_Bosque;13105;30;01-04-2020;1310543922;3;28;0;17;11;11;14;0;ON;49;;
El_Carmen;16104;30;01-04-2020;1610443922;1;1;0;1;0;0;1;0;START;36;;
El_Monte;13602;30;01-04-2020;1360243922;1;3;0;3;0;0;8;0;ON;43;;
El_Quisco;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
El_Tabo;5605;30;01-04-2020;560543922;0;1;0;1;0;0;3;0;ON;38;;
Ercilla;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Estacion_Central;13106;30;01-04-2020;1310643922;2;23;0;17;6;0;20;0;ON;55;;
Florida;8104;30;01-04-2020;810443922;0;1;0;1;0;0;7;0;ON;42;;
Freire;9105;30;01-04-2020;910543922;2;2;0;2;0;0;1;0;START;36;;
Freirina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Frutillar;10105;30;01-04-2020;1010543922;0;1;0;1;0;0;12;0;ON;47;;
Futrono;14202;30;01-04-2020;1420243922;1;2;0;2;0;0;6;0;ON;41;;
Galvarino;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Gorbea;9107;30;01-04-2020;910743922;1;8;0;8;0;0;12;0;ON;47;;
Graneros;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Hijuelas;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Hualaihue;10403;30;01-04-2020;1040343922;0;3;0;3;0;0;3;0;ON;38;;
Hualpen;8112;30;01-04-2020;811243922;7;24;0;24;0;0;10;0;ON;45;;
Hualqui;8105;30;01-04-2020;810543922;0;4;0;4;0;0;9;0;ON;44;;
Huara;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Huasco;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Huechuraba;13107;30;01-04-2020;1310743922;1;20;0;20;0;0;13;0;ON;48;;
Illapel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Independencia;13108;30;01-04-2020;1310843922;1;18;0;18;0;0;13;0;ON;48;;
Iquique;1101;30;01-04-2020;110143922;0;9;0;9;0;0;10;0;ON;45;;
Isla_de_Maipo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Isla_de_Pascua;5201;30;01-04-2020;520143922;3;5;0;5;0;0;9;0;ON;44;;
La_Cisterna;13109;30;01-04-2020;1310943922;2;12;0;12;0;0;13;0;ON;48;;
La_Cruz;5504;30;01-04-2020;550443922;0;1;0;1;0;0;2;0;ON;37;;
La_Florida;13110;30;01-04-2020;1311043922;2;60;0;57;3;0;18;0;ON;53;;
La_Granja;13111;30;01-04-2020;1311143922;3;10;0;10;0;0;12;0;ON;47;;
La_Ligua;5401;30;01-04-2020;540143922;0;1;0;1;0;0;7;0;ON;42;;
La_Pintana;13112;30;01-04-2020;1311243922;2;12;0;12;0;0;7;0;ON;42;;
La_Reina;13113;30;01-04-2020;1311343922;1;27;0;27;0;0;12;0;ON;47;;
La_Serena;4101;30;01-04-2020;410143922;1;3;0;3;0;0;3;0;ON;38;;
La_Union;14201;30;01-04-2020;1420143922;0;10;0;10;0;0;10;0;ON;45;;
Lago_Ranco;14203;30;01-04-2020;1420343922;0;1;0;1;0;0;6;0;ON;41;;
Laja;8304;30;01-04-2020;830443922;0;1;0;1;0;0;4;0;ON;39;;
Lampa;13302;30;01-04-2020;1330243922;0;10;0;10;0;0;11;0;ON;46;;
Lanco;14103;30;01-04-2020;1410343922;0;1;0;1;0;0;2;0;ON;37;;
Las_Cabras;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Las_Condes;13114;30;01-04-2020;1311443922;7;209;0;167;42;0;25;0;ON;60;;
Lautaro;9108;30;01-04-2020;910843922;0;8;0;8;0;0;4;0;ON;39;;
Licanten;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Limache;5802;30;01-04-2020;580243922;0;2;0;2;0;0;8;0;ON;43;;
Linares;7401;30;01-04-2020;740143922;1;6;0;6;0;0;11;0;ON;46;;
Litueche;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Llaillay;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Llanquihue;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Lo_Barnechea;13115;30;01-04-2020;1311543922;2;78;0;78;0;0;6;0;ON;41;;
Lo_Espejo;13116;30;01-04-2020;1311643922;2;8;0;8;0;0;11;0;ON;46;;
Lo_Prado;13117;30;01-04-2020;1311743922;2;19;0;19;0;0;11;0;ON;46;;
Loncoche;9109;30;01-04-2020;910943922;1;1;0;1;0;0;1;0;START;36;;
Longavi;7403;30;01-04-2020;740343922;0;1;0;1;0;0;10;0;ON;45;;
Los_Alamos;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Los_Andes;5301;30;01-04-2020;530143922;0;1;0;1;0;0;9;0;ON;44;;
Los_Angeles;8301;30;01-04-2020;830143922;0;11;0;10;1;0;24;0;ON;59;;
Los_Muermos;10106;30;01-04-2020;1010643922;0;1;0;1;0;0;7;0;ON;42;;
Los_Vilos;4203;30;01-04-2020;420343922;0;1;0;1;0;0;7;0;ON;42;;
Lota;8106;30;01-04-2020;810643922;0;1;0;1;0;0;12;0;ON;47;;
Lumaco;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Machali;6108;30;01-04-2020;610843922;0;6;0;5;1;0;15;0;ON;50;;
Macul;13118;30;01-04-2020;1311843922;1;10;0;10;0;0;11;0;ON;46;;
Mafil;14105;30;01-04-2020;1410543922;0;1;0;1;0;0;11;0;ON;46;;
Maipu;13119;30;01-04-2020;1311943922;3;61;2;56;3;2;15;0;ON;50;;
Maria_Elena;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Maria_Pinto;13504;30;01-04-2020;1350443922;0;1;0;1;0;0;7;0;ON;42;;
Mariquina;14106;30;01-04-2020;1410643922;0;2;0;2;0;0;4;0;ON;39;;
Maule;7105;30;01-04-2020;710543922;1;4;0;4;0;0;6;0;ON;41;;
Maullin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Mejillones;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Melipilla;13501;30;01-04-2020;1350143922;0;8;0;8;0;0;9;0;ON;44;;
Molina;7304;30;01-04-2020;730443922;1;3;1;2;0;0;3;0;ON;38;;
Mostazal;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Mulchen;8305;30;01-04-2020;830543922;0;5;0;5;0;0;7;0;ON;42;;
Nacimiento;8306;30;01-04-2020;830643922;0;4;0;3;1;0;15;0;ON;50;;
Nancagua;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Natales;12401;30;01-04-2020;1240143922;1;3;0;3;0;0;5;0;ON;40;;
Navidad;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Negrete;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Ninhue;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Nueva_Imperial;9111;30;01-04-2020;911143922;4;7;1;6;0;0;10;0;ON;45;;
niquen;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
nunoa;13120;30;01-04-2020;1312043922;4;86;0;85;1;0;22;0;ON;57;;
Olivar;6111;30;01-04-2020;611143922;1;1;0;1;0;0;1;0;START;36;;
Olmue;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Osorno;10301;30;01-04-2020;1030143922;23;114;0;110;4;3;15;0;ON;50;;
Ovalle;4301;30;01-04-2020;430143922;0;4;0;4;0;0;9;0;ON;44;;
Padre_Hurtado;13604;30;01-04-2020;1360443922;0;2;0;2;0;0;10;0;ON;45;;
Padre_las_Casas;9112;30;01-04-2020;911243922;6;25;0;25;0;0;10;0;ON;45;;
Paillaco;14107;30;01-04-2020;1410743922;0;1;0;1;0;0;2;0;ON;37;;
Paine;13404;30;01-04-2020;1340443922;0;2;0;2;0;0;13;0;ON;48;;
Parral;7404;30;01-04-2020;740443922;0;3;0;3;0;0;4;0;ON;39;;
Pedro_Aguirre_Cerda;13121;30;01-04-2020;1312143922;1;13;0;13;0;0;9;0;ON;44;;
Pelarco;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Pelluhue;7203;30;01-04-2020;720343922;0;1;0;1;0;0;5;0;ON;40;;
Pemuco;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Pencahue;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Penco;8107;30;01-04-2020;810743922;1;1;0;1;0;0;1;0;START;36;;
Penaflor;13605;30;01-04-2020;1360543922;1;13;0;13;0;0;9;0;ON;44;;
Penalolen;13122;30;01-04-2020;1312243922;5;49;0;49;0;0;9;0;ON;44;;
Perquenco;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Petorca;5404;30;01-04-2020;540443922;0;1;0;1;0;0;4;0;ON;39;;
Peumo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Pica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Pinto;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Pirque;13202;30;01-04-2020;1320243922;0;1;0;1;0;0;5;0;ON;40;;
Pitrufquen;9114;30;01-04-2020;911443922;0;7;0;7;0;0;10;0;ON;45;;
Placilla;6308;30;01-04-2020;630843922;0;1;0;1;0;0;13;0;ON;48;;
Porvenir;12301;30;01-04-2020;1230143922;1;1;0;1;0;0;1;0;START;36;;
Pozo_Almonte;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Primavera;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Providencia;13123;30;01-04-2020;1312343922;1;87;0;54;33;0;28;0;ON;63;;
Puchuncavi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Pucon;9115;30;01-04-2020;911543922;0;2;0;2;0;0;10;0;ON;45;;
Pudahuel;13124;30;01-04-2020;1312443922;1;25;0;25;0;0;9;0;ON;44;;
Puente_Alto;13201;30;01-04-2020;1320143922;7;28;0;28;0;0;13;0;ON;48;;
Puerto_Montt;10101;30;01-04-2020;1010143922;6;38;0;29;9;5;26;0;ON;61;;
Puerto_Octay;10302;30;01-04-2020;1030243922;0;1;0;1;0;0;4;0;ON;39;;
Puerto_Varas;10109;30;01-04-2020;1010943922;0;1;0;0;1;0;15;0;ON;50;;
Punitaqui;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Punta_Arenas;12101;30;01-04-2020;1210143922;32;86;0;84;2;0;16;0;ON;51;;
Puren;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Purranque;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Putaendo;5705;30;01-04-2020;570543922;0;2;0;2;0;0;7;0;ON;42;;
Puyehue;10304;30;01-04-2020;1030443922;0;1;0;1;0;0;10;0;ON;45;;
Quilicura;13125;30;01-04-2020;1312543922;2;29;0;29;0;0;9;0;ON;44;;
Quillon;16107;30;01-04-2020;1610743922;0;9;0;9;0;0;11;0;ON;46;;
Quillota;5501;30;01-04-2020;550143922;2;13;0;10;3;0;15;0;ON;50;;
Quilpue;5801;30;01-04-2020;580143922;0;9;0;9;0;0;13;0;ON;48;;
Quinchao;10210;30;01-04-2020;1021043922;0;1;0;1;0;0;7;0;ON;42;;
Quinta_de_Tilcoco;6114;30;01-04-2020;611443922;0;1;0;1;0;0;8;0;ON;43;;
Quinta_Normal;13126;30;01-04-2020;1312643922;1;25;0;25;0;0;8;0;ON;43;;
Quintero;5107;30;01-04-2020;510743922;0;3;0;3;0;0;9;0;ON;44;;
Quirihue;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Rancagua;6101;30;01-04-2020;610143922;1;7;0;7;0;0;13;0;ON;48;;
Ranquil;16206;30;01-04-2020;1620643922;0;1;0;1;0;0;11;0;ON;46;;
Rauco;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Recoleta;13127;30;01-04-2020;1312743922;2;17;0;13;4;0;17;0;ON;52;;
Renaico;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Renca;13128;30;01-04-2020;1312843922;4;16;1;14;1;1;14;0;ON;49;;
Rengo;6115;30;01-04-2020;611543922;0;1;0;1;0;0;2;0;ON;37;;
Requinoa;6116;30;01-04-2020;611643922;0;1;0;0;1;0;15;0;ON;50;;
Retiro;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Rinconada;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Rio_Bueno;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Rio_Claro;7108;30;01-04-2020;710843922;0;1;0;0;1;1;14;0;ON;49;;
Rio_Hurtado;4305;30;01-04-2020;430543922;0;1;0;1;0;0;6;0;ON;41;;
Rio_Negro;10305;30;01-04-2020;1030543922;0;1;0;1;0;0;5;0;ON;40;;
Romeral;7306;30;01-04-2020;730643922;0;2;0;2;0;0;5;0;ON;40;;
Saavedra;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Sagrada_Familia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Salamanca;4204;30;01-04-2020;420443922;0;2;0;2;0;0;13;0;ON;48;;
San_Antonio;5601;30;01-04-2020;560143922;1;3;0;3;0;0;8;0;ON;43;;
San_Bernardo;13401;30;01-04-2020;1340143922;2;41;0;40;1;0;15;0;ON;50;;
San_Carlos;16301;30;01-04-2020;1630143922;0;13;0;13;0;0;11;0;ON;46;;
San_Clemente;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
San_Esteban;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
San_Fabian;16304;30;01-04-2020;1630443922;1;5;0;5;0;0;5;0;ON;40;;
San_Felipe;5701;30;01-04-2020;570143922;0;3;0;3;0;0;11;0;ON;46;;
San_Fernando;6301;30;01-04-2020;630143922;0;3;0;2;1;1;14;0;ON;49;;
San_Ignacio;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
San_Javier;7406;30;01-04-2020;740643922;0;1;0;1;0;0;2;0;ON;37;;
San_Joaquin;13129;30;01-04-2020;1312943922;2;24;0;24;0;0;10;0;ON;45;;
San_Jose_de_Maipo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
San_Juan_de_La_Costa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
San_Miguel;13130;30;01-04-2020;1313043922;4;35;0;34;1;0;16;0;ON;51;;
San_Nicolas;16305;30;01-04-2020;1630543922;1;1;0;1;0;0;1;0;START;36;;
San_Pablo;10307;30;01-04-2020;1030743922;0;2;0;2;0;0;6;0;ON;41;;
San_Pedro;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
San_Pedro_de_Atacama;2203;30;01-04-2020;220343922;1;2;0;2;0;0;4;0;ON;39;;
San_Pedro_de_la_Paz;8108;30;01-04-2020;810843922;2;45;0;44;1;0;15;0;ON;50;;
San_Rafael;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
San_Ramon;13131;30;01-04-2020;1313143922;2;7;0;7;0;0;3;0;ON;38;;
San_Vicente;6117;30;01-04-2020;611743922;1;1;0;1;0;0;1;0;START;36;;
Santa_Barbara;8311;30;01-04-2020;831143922;0;1;0;1;0;0;4;0;ON;39;;
Santa_Cruz;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Santa_Juana;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Santa_Maria;5706;30;01-04-2020;570643922;1;2;0;2;0;0;4;0;ON;39;;
Santiago;13101;30;01-04-2020;1310143922;11;143;1;129;13;0;19;1;ON;54;;
Santo_Domingo;5606;30;01-04-2020;560643922;0;2;0;2;0;0;13;0;ON;48;;
Talagante;13601;30;01-04-2020;1360143922;1;7;0;7;0;0;10;0;ON;45;;
Talca;7101;30;01-04-2020;710143922;3;38;0;28;10;1;30;0;ON;65;;
Talcahuano;8110;30;01-04-2020;811043922;0;38;1;23;14;2;17;0;ON;52;;
Taltal;2104;30;01-04-2020;210443922;0;2;0;2;0;0;3;0;ON;38;;
Temuco;9101;30;01-04-2020;910143922;24;255;4;247;4;2;17;1;ON;52;;
Teno;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Teodoro_Schmidt;9117;30;01-04-2020;911743922;0;2;0;2;0;0;3;0;ON;38;;
Tierra_Amarilla;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Tiltil;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Tirua;8207;30;01-04-2020;820743922;1;1;0;1;0;0;1;0;START;36;;
Tocopilla;2301;30;01-04-2020;230143922;0;2;0;0;2;2;14;0;ON;49;;
Tolten;9118;30;01-04-2020;911843922;1;1;1;0;0;0;1;1;START;36;;
Tome;8111;30;01-04-2020;811143922;3;10;0;7;3;3;14;0;ON;49;;
Traiguen;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Tucapel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Valdivia;14101;30;01-04-2020;1410143922;5;44;1;41;2;1;17;1;ON;52;;
Vallenar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Valparaiso;5101;30;01-04-2020;510143922;2;27;0;27;0;0;13;0;ON;48;;
Victoria;9211;30;01-04-2020;921143922;0;5;0;5;0;0;6;0;ON;41;;
Vicuna;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Vilcun;9119;30;01-04-2020;911943922;1;6;0;6;0;0;6;0;ON;41;;
